P37.8,P56,P58,P60,P61,P1,P2,F.EXPANSIÓN,P59.1,P59.2,P59.3,P59.4,P59.5,P59.6,P59.7,P59.8,P59.9
1,2,2,0,0,1,67,59.11851851851852,0,0,0,0,0,0,0,0,0
0,2,1,1,4,1,53,26.690265486725664,1,1,1,0,0,0,0,0,0
1,2,2,0,0,2,47,59.11851851851852,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,68,65.81390134529148,0,0,0,0,0,0,0,0,0
1,3,2,0,0,1,68,65.81390134529148,0,0,0,0,0,0,0,0,0
1,3,2,0,0,1,78,212.26854219948848,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,57,59.11851851851852,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,63,212.26854219948848,0,0,0,0,0,0,0,0,0
0,2,2,0,0,2,36,65.81390134529148,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,53,26.690265486725664,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,73,212.26854219948848,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,58,441.3291536050157,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,32,35.528301886792455,0,0,0,0,0,0,0,0,0
0,2,2,0,0,2,31,26.690265486725664,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,62,441.3291536050157,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,54,65.81390134529148,0,0,0,0,0,0,0,0,0
1,3,2,0,0,1,64,23.20769230769231,0,0,0,0,0,0,0,0,0
1,2,1,0,0,1,70,25.90625,1,0,0,0,0,0,0,0,0
1,3,2,0,0,2,43,26.690265486725664,0,0,0,0,0,0,0,0,0
0,3,1,1,1,1,53,441.3291536050157,1,0,0,0,0,0,0,0,0
1,2,2,0,0,1,73,59.11851851851852,0,0,0,0,0,0,0,0,0
1,2,1,1,3,1,60,65.81390134529148,1,0,0,0,0,1,0,0,0
0,3,2,0,0,1,64,31.98051948051948,0,0,0,0,0,0,0,0,0
0,3,1,0,0,1,27,23.20769230769231,0,1,0,0,0,0,0,0,0
1,2,2,0,0,2,44,25.90625,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,60,31.98051948051948,0,0,0,0,0,0,0,0,0
0,2,2,0,3,2,57,26.690265486725664,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,59,212.26854219948848,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,60,23.20769230769231,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,37,59.11851851851852,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,40,212.26854219948848,0,0,0,0,0,0,0,0,0
1,2,2,0,0,2,54,26.690265486725664,0,0,0,0,0,0,0,0,0
0,1,2,0,0,1,42,212.26854219948848,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,51,31.98051948051948,0,0,0,0,0,0,0,0,0
0,2,1,0,0,1,63,23.20769230769231,1,0,0,0,0,0,0,0,0
0,3,1,0,0,2,61,31.98051948051948,1,0,0,0,0,1,0,1,0
1,2,2,0,0,1,36,37.8,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,54,212.26854219948848,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,58,65.81390134529148,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,70,23.20769230769231,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,75,65.81390134529148,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,67,26.690265486725664,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,50,31.98051948051948,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,54,26.690265486725664,0,0,0,0,0,0,0,0,0
0,2,2,0,0,2,64,25.90625,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,46,31.98051948051948,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,43,25.90625,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,53,65.81390134529148,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,63,23.20769230769231,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,60,65.81390134529148,0,0,0,0,0,0,0,0,0
0,2,1,1,3,1,75,23.20769230769231,0,0,0,0,0,0,0,1,0
0,3,2,0,0,1,65,65.81390134529148,0,0,0,0,0,0,0,0,0
0,1,2,0,3,1,53,25.81578947368421,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,65,212.26854219948848,0,0,0,0,0,0,0,0,0
1,2,1,1,4,2,59,35.528301886792455,1,0,0,0,0,0,0,0,0
0,2,2,0,0,1,64,25.90625,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,56,37.8,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,70,59.11851851851852,0,0,0,0,0,0,0,0,0
1,3,2,0,0,1,61,25.81578947368421,0,0,0,0,0,0,0,0,0
0,3,1,0,0,1,53,35.528301886792455,1,0,0,0,0,0,1,1,0
0,2,1,1,1,2,45,35.528301886792455,0,0,0,0,1,0,0,0,0
0,3,2,0,0,1,53,212.26854219948848,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,47,26.690265486725664,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,68,65.81390134529148,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,50,65.81390134529148,0,0,0,0,0,0,0,0,0
1,2,2,0,0,2,60,65.81390134529148,0,0,0,0,0,0,0,0,0
1,2,2,0,0,2,36,26.690265486725664,0,0,0,0,0,0,0,0,0
0,2,2,0,0,2,53,37.8,0,0,0,0,0,0,0,0,0
1,2,1,0,0,2,34,31.98051948051948,0,1,0,0,0,0,0,0,0
1,2,2,0,0,1,52,65.81390134529148,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,42,31.98051948051948,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,61,441.3291536050157,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,73,23.20769230769231,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,67,59.11851851851852,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,64,212.26854219948848,0,0,0,0,0,0,0,0,0
1,3,2,0,0,2,59,23.20769230769231,0,0,0,0,0,0,0,0,0
1,2,2,0,0,2,69,441.3291536050157,0,0,0,0,0,0,0,0,0
0,2,2,0,0,2,55,59.11851851851852,0,0,0,0,0,0,0,0,0
0,3,2,0,0,2,46,59.11851851851852,0,0,0,0,0,0,0,0,0
1,3,2,0,0,1,41,25.90625,0,0,0,0,0,0,0,0,0
1,3,2,0,0,2,46,23.20769230769231,0,0,0,0,0,0,0,0,0
0,2,2,0,0,2,57,212.26854219948848,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,53,25.81578947368421,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,73,31.98051948051948,0,0,0,0,0,0,0,0,0
1,3,2,0,0,1,51,65.81390134529148,0,0,0,0,0,0,0,0,0
1,2,1,1,1,1,89,59.11851851851852,0,0,0,0,0,1,0,1,0
1,2,2,0,0,1,53,65.81390134529148,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,74,65.81390134529148,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,79,212.26854219948848,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,48,23.20769230769231,0,0,0,0,0,0,0,0,0
0,3,1,0,0,1,51,212.26854219948848,1,0,0,0,0,0,0,0,0
0,2,2,0,0,1,60,59.11851851851852,0,0,0,0,0,0,0,0,0
1,3,2,0,0,1,63,212.26854219948848,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,70,59.11851851851852,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,54,26.690265486725664,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,65,212.26854219948848,0,0,0,0,0,0,0,0,0
1,2,1,0,0,1,70,31.98051948051948,0,1,0,0,0,0,0,0,0
1,3,1,1,3,1,65,26.690265486725664,1,0,0,0,0,0,0,0,0
0,1,2,0,0,1,67,26.690265486725664,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,79,441.3291536050157,0,0,0,0,0,0,0,0,0
1,2,2,0,0,2,56,212.26854219948848,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,54,31.98051948051948,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,52,26.690265486725664,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,77,441.3291536050157,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,65,31.98051948051948,0,0,0,0,0,0,0,0,0
0,2,1,1,4,1,52,212.26854219948848,1,0,0,0,1,0,0,0,0
1,3,2,0,0,1,58,441.3291536050157,0,0,0,0,0,0,0,0,0
1,2,1,0,0,2,49,212.26854219948848,1,0,0,0,0,0,0,0,0
1,3,2,0,0,1,67,59.11851851851852,0,0,0,0,0,0,0,0,0
0,3,2,0,0,2,50,26.690265486725664,0,0,0,0,0,0,0,0,0
0,2,2,0,0,1,45,212.26854219948848,0,0,0,0,0,0,0,0,0
1,2,1,1,4,2,53,59.11851851851852,0,1,0,0,0,1,0,0,0
0,2,1,1,3,1,65,212.26854219948848,1,0,0,0,0,0,0,0,0
0,2,2,0,0,2,58,65.81390134529148,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,60,65.81390134529148,0,0,0,0,0,0,0,0,0
0,1,2,0,0,2,70,441.3291536050157,0,0,0,0,0,0,0,0,0
0,3,2,0,0,1,65,25.90625,0,0,0,0,0,0,0,0,0
1,2,1,1,3,1,53,35.528301886792455,1,1,0,0,1,0,0,1,0
1,3,2,0,0,1,43,212.26854219948848,0,0,0,0,0,0,0,0,0
0,3,2,0,0,2,64,65.81390134529148,0,0,0,0,0,0,0,0,0
1,2,2,0,0,1,51,212.26854219948848,0,0,0,0,0,0,0,0,0
0,2,2,0,0,2,63,212.26854219948848,0,0,0,0,0,0,0,0,0
1,3,2,0,0,2,68,212.26854219948848,0,0,0,0,0,0,0,0,0
0,2,2,0,0,2,45,65.81390134529148,0,0,0,0,0,0,0,0,0
0,1,2,0,3,1,25,25.81578947368421,0,0,0,0,0,0,0,0,0
