P37_8,P56,P60,P1,P2,PONDERA,P59_1,P59_2,P59_3,P59_4,P59_5,P59_6,P59_7,P59_8,P59_9,P61A_1,P61A_2,P61A_3,P61A_4,P61A_5,P61A_6,P61A_7,P61A_8,P61B_1,P61B_2,P61B_3,P61B_4,P61B_5,P61B_6,P61B_7,P61B_8
0,3,0,2,55,323.675,0,0,0,0,0,0,0,0,0,1.0,,,,,,,,7.0,,,,,,,
0,2,0,1,42,67.5442185508479,0,0,0,0,0,0,0,0,0,4.0,,,,,,,,3.0,,,,,,,
0,2,0,2,43,67.5442185508479,0,0,0,0,0,0,0,0,0,1.0,2.0,5.0,,,,,,7.0,1.0,,,,,,
0,1,0,2,24,192.265465869145,0,0,0,0,0,0,0,0,0,2.0,,,,,,,,1.0,,,,,,,
0,2,0,1,27,90.4739583333333,0,0,0,0,0,0,0,0,0,7.0,,,,,,,,3.0,,,,,,,
0,2,0,1,33,323.675,0,0,0,0,0,0,0,0,0,2.0,,,,,,,,4.0,,,,,,,
0,2,0,2,48,67.5442185508479,0,0,0,0,0,0,0,0,0,5.0,2.0,3.0,,,,,,1.0,3.0,,,,,,
0,3,0,2,40,90.4739583333333,1,1,1,0,0,0,0,0,0,2.0,,,,,,,,2.0,,,,,,,
0,3,0,1,27,67.5442185508479,0,0,0,0,0,0,0,0,0,1.0,,,,,,,,4.0,3.0,2.0,,,,,
0,1,0,1,45,323.675,0,0,0,0,0,0,0,0,0,2.0,,,,,,,,3.0,6.0,,,,,,
0,2,0,1,42,323.675,0,0,0,0,0,0,0,0,0,5.0,,,,,,,,1.0,,,,,,,
0,2,0,2,36,132.118144014007,0,0,0,0,0,0,0,0,0,2.0,7.0,3.0,4.0,1.0,,,,5.0,1.0,4.0,,,,,
0,2,0,1,43,90.4739583333333,0,0,0,0,0,0,0,0,0,5.0,,,,,,,,8.0,,,,,,,
0,1,0,2,33,67.5442185508479,0,0,0,0,0,0,0,0,0,6.0,,,,,,,,5.0,,,,,,,
0,2,0,2,65,90.4739583333333,0,0,0,0,0,0,0,0,0,8.0,,,,,,,,8.0,,,,,,,
0,2,0,2,46,353.395446217027,0,0,0,0,0,0,0,0,0,5.0,2.0,,,,,,,3.0,1.0,,,,,,
0,2,0,1,52,210.999999999998,1,1,1,0,1,0,1,1,0,5.0,6.0,7.0,1.0,3.0,2.0,,,4.0,,,,,,,
0,2,0,1,47,67.5442185508479,0,0,0,0,0,0,0,0,0,5.0,,,,,,,,1.0,,,,,,,
0,2,1,1,36,90.4739583333333,1,0,0,0,0,0,0,0,0,6.0,,,,,,,,1.0,,,,,,,
0,2,0,1,35,90.4739583333333,0,0,0,0,0,0,0,0,0,2.0,6.0,,,,,,,1.0,5.0,,,,,,
0,2,0,1,38,90.4739583333333,0,0,0,0,0,0,0,0,0,1.0,5.0,,,,,,,5.0,2.0,,,,,,
0,1,0,1,44,257.21052631579,0,0,0,0,0,0,0,0,0,7.0,,,,,,,,8.0,,,,,,,
0,2,0,1,39,353.395446217027,0,0,0,0,0,0,0,0,0,4.0,2.0,1.0,5.0,7.0,,,,1.0,2.0,,,,,,
0,2,0,1,25,90.4739583333333,1,0,0,0,0,0,0,0,0,2.0,,,,,,,,3.0,2.0,,,,,,
0,2,0,1,60,323.675,0,0,0,0,0,0,0,0,0,2.0,3.0,,,,,,,5.0,1.0,4.0,,,,,
0,3,0,2,53,323.675,0,0,0,0,0,0,0,0,0,5.0,7.0,,,,,,,4.0,,,,,,,
0,3,0,1,39,90.4739583333333,0,0,0,0,0,0,0,0,0,2.0,5.0,6.0,,,,,,1.0,5.0,,,,,,
0,3,0,1,29,323.675,0,0,0,0,0,0,0,0,0,3.0,7.0,5.0,,,,,,1.0,4.0,,,,,,
0,3,0,2,44,353.395446217027,0,0,0,0,0,0,0,0,0,1.0,2.0,3.0,6.0,,,,,2.0,5.0,,,,,,
0,2,0,1,55,353.395446217027,0,0,0,0,0,0,0,0,0,2.0,5.0,,,,,,,2.0,1.0,,,,,,
